item,categoria,referencias,cantidad,valor,encapsulado,alternativa_1,alternativa_2,critico,notas_disponibilidad
1,Semiconductor,U10,1,ESP32-S3-WROOM-1-N16R8,"Modulo SMD",ESP32-S3-WROOM-1-N16R2,ESP32-S3-WROOM-1-N8,si,"La variante R2 (PSRAM quad) libera IO35-IO37 y da +3 GPIO. Verificar variante antes de fijar el pinout."
2,Semiconductor,U11,1,W5500,LQFP-48,"Modulo WIZnet W5500 preensamblado",ENC28J60 (NO recomendado - sin pila TCP/IP),si,"Un modulo preensamblado con RJ45 y magnetismos elimina el riesgo de layout del PHY en el primer prototipo."
3,Semiconductor,U1,1,"Buck sincrono 12V->5V >=6 A",segun fabricante,"TPS54620 (6 A VQFN)","Modulo DC-DC 12V->5V 6 A preensamblado",si,"eff >= 0.93 OBLIGATORIO (calculo 04). Verificar la curva a 12 Vin y 4.87 A, no la de media carga."
4,Semiconductor,U2,1,"Buck sincrono 5V->3.3V 1 A",segun fabricante,"TPS62163","AMS1117-3.3 (LDO - 0.765 W de disipacion)",si,"El LDO cabe termicamente (Tj 86 C) pero disipa 4.6 veces mas."
5,Semiconductor,U50,1,ADS7953SBDBT,TSSOP-30,"2 x MCP3208-BI/SL (cuesta 1 CS extra)","CD74HC4067M + ADC del ESP32-S3 (opcion A - reserva de GPIO = 0)",si,"El MCP3208 es mucho mas facil de conseguir y usa Vdd como referencia (evita el problema de saturacion de 2.5 V)."
6,Semiconductor,U60,1,74AHCT125PW,TSSOP-14,74AHCT125N (DIP-14),74HCT245 (bidireccional - 8 canales),si,"HCT es obligatorio: VIH 2.0 V con Vcc 5 V. Una familia HC NO sirve (VIH 3.5 V)."
7,Semiconductor,U40;U41,2,74HC165,SOIC-16,74HCT165,"9 x 74HC74 (biestables - mas caro y mas area)",si,"Muy disponible."
8,Semiconductor,"Un_A (9 secciones)",3,MCP6004,SOIC-14,TLV9004,LM324 (NO rail-to-rail - degrada el margen bajo),si,"Rail-to-rail imprescindible: la envolvente trabaja cerca de 0 V."
9,Semiconductor,"Un_C (9 secciones)",3,LM339,SOIC-14,LM393 (doble - harian falta 5),TLV3502 (mas rapido - salida push-pull NO sirve para el OR),si,"COLECTOR ABIERTO OBLIGATORIO. Una salida push-pull impide el OR cableado de la hoja 04."
10,Semiconductor,Q1,1,"MOSFET canal P Vds>=30V Rds(on)<=30 mohm",SOT-23,AO3401A,SI2301CDS,si,"Caida 68 mV a 2.26 A frente a 0.9 V de un Schottky."
11,Semiconductor,D1,1,SMBJ15A,SMB,SMAJ15A (400 W),P6KE15A (THT),si,"Vr 15 V - Vc 24.4 V."
12,Semiconductor,"Dn1 (9)",9,BAT54S,SOT-23,BAT54SW (SOT-323),"2 x BAT54 discretos",si,"PROTECCION DEL ESP32. No sustituir por diodos de silicio (Vf 0.7 V da un clamp de 4.0 V)."
13,Semiconductor,"Dn2 (9)",9,BAT54,SOT-23,1N5819 (THT),BAT85,si,"Vf baja para el rectificador de envolvente."
14,Semiconductor,D40-D48,9,BAT54,SOT-23,"3 x BAT54S (dobles)",BAV70,si,"Vf 0.30 V - determina el margen de nivel bajo de IRQ_ANY."
15,Semiconductor,D50-D55,6,BAV99,SOT-23,BAV70,"diodos discretos 1N4148",no,"Clamp de las entradas del ADC."
16,Semiconductor,D20,1,"Array TVS 4 canales Ethernet C<=3 pF",SOT-23-6,SP3012-04UTG,PESD5V0S4UD,si,"C <= 3 pF obligatorio para no degradar 100BASE-TX."
17,Semiconductor,D72,1,SRV05-4,SOT-23-6,USBLC6-4SC6,PESD5V0S5UD,si,"ESD del mazo a la tapa - via de entrada mas probable."
18,Semiconductor,D2,1,"Zener 12 V 500 mW",SOD-123,BZX84C12,1N4742A (THT),no,
19,Semiconductor,D60-D62,3,"Schottky 3 A / 40 V",SMA,SS34,SK34,no,
20,Semiconductor,D3;D70;D71,3,"LED 3 mm (verde x2, ambar x1)",THT/Panel,"LED 5 mm",-,no,
21,Pasivo,C4;C5,2,"1000 uF / 10 V low-ESR ESR<=30 mohm","THT D10 x 20",Panasonic FR / Nichicon HE,"3 x 680 uF (ESR combinada 3 x 40 = 13 mohm)",si,"ESR <= 26.2 mohm combinada es REQUISITO DE COMPRA (calculo 01). Un electrolitico generico de 0.15 ohm NO cumple."
22,Pasivo,C62-C64,3,"470 uF / 10 V low-ESR","THT D8",Panasonic FR,"2 x 220 uF en paralelo",si,"Bulk local de cada punto de inyeccion de fila."
23,Pasivo,C1,1,"470 uF / 25 V electrolitico","THT D10",-,-,no,
24,Pasivo,"Rn2a;Rn2b (18)",18,"33k 1% 0805 (>=150 V)",0805,"2 x 33k 1206 (200 V)","68k 1206 unico si esta calificado a 200 V",si,"EL ENCAPSULADO ES CRITICO. Un 0603 (50 V) NO sirve: ve hasta 150 V. Verificar la tension de trabajo en la hoja de datos, no solo el valor."
